userName,score,at,content
nyoman putrayana,1,2026-04-29 06:52:11,cb dlu pak sebelum di update. mau masuk aja dipersusah. pake otp sudah kirim sms malah dibalas gagal.
sugeng tri marwanto,5,2026-04-29 06:12:40,sangat membantu
Herdianto Pratama,5,2026-04-29 05:34:37,"Jadi mudah untuk perpanjang SIM, dari pada offline mahal sekali."
Risti Fannia,5,2026-04-29 04:32:47,Pelayanannya cepet dan ga ribet. Mantap pokoknya!!!
nurcholis,1,2026-04-29 04:05:20,aplikasi gak guna
amang ardani,2,2026-04-29 03:25:46,sangat di sayangkan cek kesehatan malah di suruh konfirmasi satpas. satpas yang ngatur dokter sia-sia online klow jatuh xa di suruh manual juga tuk perpanjang SIM semoga oknum-oknum yang mempersulit orang hidup xa seumur hidup sampai ke anak cucu xa di persulit juga . A🤲N
Hisyam,1,2026-04-29 02:46:26,"tolong segera dibenerin aplikasinya. mau digitalisasi gk bisa, mau perpanjang sim juga gk bisa. kenapa aplikasi bikinan pemerintah ini gk ada yg bener padahal anggarannya pasti besar sekali. seharusnya kalian ini amanah ingat semua perbuatan kalian ini akan dipertanggung jawabkan kelak"
Wurita Kim,5,2026-04-29 02:40:18,mantap sangat membantu
Saya Arman,5,2026-04-29 02:35:20,bagaimana dengan SIM yang hilang apakah perlu membuat SIM dari awal lagi atau bisa di cetak ulang
Haris Setiawan,5,2026-04-29 02:27:42,apakah lagi down? gk bisa login
Biru Langit,1,2026-04-29 02:18:33,"jelek banyak gangguan sistemnya, belajar lagi mebuat sistem ke vendor2 yang lain"
Is not a Loser,1,2026-04-29 01:57:39,"saya tidak bisa login, bahkan sampai saya ulang ulang sistem tidak berfungsi!!! kenapa aplikasi milik lembaga pemerintah selalu BROKEN?! percuma saja aplikasi ini dibuat kalau tidak bisa dipakai!!"
didik meiwanto,5,2026-04-29 01:55:11,"sangat membantu, mudah penggunaannya, cepat prosesnya"
anju benni,2,2026-04-29 01:50:17,kenapa sering eror waktu mau daftar dan verifikasi?
Raissa Putri Aulia,1,2026-04-29 01:48:43,musingin. error terus
Latif,1,2026-04-29 01:37:18,"Aplikasi gak guna, sudah ikut sesuai instruksi ikut tes kesehatan dan psikolog dinyatakan lulus..setelah semuanya selesai tinggal pengiriman lewat pos dibatalkan satpas 2 kali oleh satpas yang berbeda Hari ini dicoba lagi hasil pemeriksaan yang kemarin hilang harus ikut tes lagi..rugi waktu dan uang Yang benar aja"
Zamet Similikiti,1,2026-04-29 00:48:14,GANGGUAN GAK BISA LOGIN DARI TANGGAL 27 APRIL 2026 ..!!!!!!
Del Malik,1,2026-04-29 00:34:34,"aplikasi ga guna, mau masuk aja ga bisa ""terjadi kesalahan sistem"" apa karna kalo dari online gabisa pungli ya?"
Fadli Van Gobel,5,2026-04-29 00:00:13,Sangat membantu memudahkan pengurusan SIM
Wahyudin Teja Sukmana,1,2026-04-28 22:41:22,pengajuan SIM ditolak uang tes psikologi tidak kembali
Abib Akbar Rajendra,5,2026-04-28 18:18:07,pak kenapa sekrang gk bisa daftar selalau gagal
Akhmad fahrur Rozi,5,2026-04-28 15:24:03,apk sering eror
Zajdali chanel,5,2026-04-28 15:18:42,aplikasi tdk bisa di buka
elvin nehru,5,2026-04-28 14:54:57,cukup puas meskipun harus tanya dulu ke satpas nya karena sempat trouble aplikasi nya.dan besok uda jd sim saya 😁👍
Maulida Desiwarni,5,2026-04-28 12:52:28,sim nya sampai di alamat 2 hari setelah pengajuan perpanjangan sim selesai. BRAVO
Amin Asjuma,5,2026-04-28 10:21:41,alhamdulillah sim c sudah selesai dan sampai ditangan.semoga kedepannya korlantas sim online dalam pelayanannya lebih baik lagi dan prosesnya lebih cepat lagi.
retno dwi,5,2026-04-28 10:06:29,"puas banget prosesnya cepet, mudah tp terkadang sistem suka maintenance tolong diperbaiki lebih baik lagi yaa.."
SUGENG ASIANA,5,2026-04-28 09:56:18,mudah dan cepat.
zul fadillah,1,2026-04-28 08:34:54,"VERIFIKASI WAJAH 👎 udah coba ratusan kali gabisa trus iseng ganti foto profil, pas dibuka besoknya ilang lagi wkwkwkwkwk"
Rahma Bakti,1,2026-04-28 07:34:05,"buruk,g bisa "" fersifikasi wajah"
Hernanto Danish,5,2026-04-28 07:16:03,"Aplikasi Digital Korlantas Polri sangat membantu! Perpanjangan SIM tinggal klik dari rumah, tidak perlu antre lagi. Sangat efektif dan efisien, terutama bagi yang sibuk."
Yuliaeka Pratama,1,2026-04-28 07:15:08,"ko data ga di temukan terus sih,padahal isi datanya udah sesuai ktp"
Anonim Name,5,2026-04-28 06:59:06,mantap
Nadira,5,2026-04-28 06:36:31,cepat mudah
agus moko,5,2026-04-28 06:20:47,puas
Ariyono,5,2026-04-28 06:18:47,terimakasih akhirnya apk bermanfaat buat bikin SIM online
Fahry Lovelinve,3,2026-04-28 05:55:03,SIM digitalnya masih harus ke Satpasnya tolong di perbaikilah
Katon Gesang Samito Suprianto,1,2026-04-28 05:41:36,ini mau masuk aja kode verif ya nunggu lama bgt. tolong dibenahi
Ahmad AZAM NURWAHID,5,2026-04-28 05:25:29,"lebih efisien waktu dan hemat biaya,tapi yang perlu di perbaiki dri sistem aplikasi nya susah log ini kalo sudah keluar aplikasi"
Hari Suyono,4,2026-04-28 04:48:55,Sangat membantu
Andre Fikih,5,2026-04-28 04:43:37,proses cepat dan mudah
Bachtiar Fadillah,5,2026-04-28 03:41:36,the best
Rezagumilar,5,2026-04-28 03:20:57,Perpanjang SIM jadi lebih mudah dan Murah
Doni Meiga Refoma,5,2026-04-28 03:03:50,sangat membantu
Sonya Sunu,5,2026-04-28 02:56:02,good service...
Jauhar Arif,5,2026-04-28 02:40:50,"keren beneran gak perlu datang ke polres, mempermudah bagi karyawan yang bekerja tidak ada hari libur selain hari minggu tks polri..cukup dari rumah sim diterima dirumah mantab"
Fitri handayani,5,2026-04-28 02:32:55,cukup dirumah dan saat ambil pelayanannya memuaskan
abdul latif,5,2026-04-28 01:33:07,sangat puas dg pelayanan nya fast respon
Rahman Official,1,2026-04-28 01:29:40,sebagai gambaran yang belum tau biaya yang harus di siapkan Psikotes 90.000 Tes kesehatan 35.000 Transaksi perpanjangan SIM di akhir 100.000 ( ambil sendiri ) jika mau di kirim nambah 35.000 total 260.000
khairuddin official,1,2026-04-28 01:23:06,tolong perbaiki lagi aplikasinya masak error tiap hari miiiijnnj
YUNIZAR S.Pd.,5,2026-04-28 00:25:48,Sudah 2 kali perpanjangan SIM melalui aplikasi ini
SHARFINA SHARFINA,2,2026-04-27 23:55:45,"error error terus , gangguan sistem internal kami terus tiap mau login"
Jisoo Han,1,2026-04-27 23:41:46,"ini aplikasi gimana,no hp sudah benar,tapi ga bisa daftar,bermasalah terus"
Muji,1,2026-04-27 22:23:35,Udah sebulan perpanjang sim online A dan C tapi ddashboar ga ada SIMnya...Digitalisasi masukkan NIK gagal...Knp apps oon begini sih
Ade Suryadarma,1,2026-04-27 18:25:32,"sekelas polri aplikasi nya gangguan terus udh daftar perpanjang sim online udh rikes udah yes sykologi udah bayar, data saya malah ilang, pas mau mulai lgi suruh cek riwayat transaksi pas udh cek gak ada transaksi, amit amit ya allah susah amat sih di indonesia mau perpanjang sim jga pdhal gw bayar gak gratis, dan knpa gw online karna gw lg kerja di luar kota, pdhal kalo mau tes nawa motor mah ayo lah mau balap sama polisi nya juga"
Achmad Jaelani,1,2026-04-27 17:40:14,"sangat buruk,"
Maxwell Small,1,2026-04-27 14:44:01,"verifikasi muka gagal terosss, sudah sesuai arahan masih gagal"
Zaffa Pamungkas,5,2026-04-27 13:39:19,sangat memuaskan dan memudahkan perpanjang sim bagi masyarakat👍
vhenuz eika,1,2026-04-27 13:31:21,"saya coba berkali kali, baru juga mau mulai daftar udah ""maaf layanan tidak tersedia, silahkan coba lagi.""pulsa masih ada, masa aktif kartu masih ada. mengecewakan"
Jadoel Soeretro,5,2026-04-27 13:19:41,aplikasi sangat berguna Skali. dan sangat membantu. cuma mungkin perlu di benahi untuk maintenance nya saja. jangan terlalu lama. over all. ITS oke. terima kasih
Agung Indra,1,2026-04-27 13:11:34,"parah aplikasinya udah selesai semua dokumen , malah eror Mulu parah parah"
Je llo,1,2026-04-27 13:09:25,baru mulai daftar app gangguan yaampun pak 🥲🥲🥲 tolonglah dimudahkan prosesnya kita masyarakat kecil butuh digitalisasi yg mempercepat dan mempermudah layanan 🙏
Arsyilla Akbar,1,2026-04-27 13:00:48,gk bisa masuk aplikasinya pas sudah keluar susah masuk lagi alasannya terjadi gangguan padahal aman-aman aja👎
yayan Saputra,4,2026-04-27 12:51:55,sekarang aplikasi ny eror trs beberapa minggu ini untuk perpanjangan sim belum bisa di lihat yang sudah saya ajukan
Meisa Sarah,5,2026-04-27 12:09:44,aplikasi sgt membantu
Bagus rianto,1,2026-04-27 11:45:38,saya mau mengubah data No hp kok tidak ada jawaban ya min
Nelis Armando,5,2026-04-27 11:00:39,allhamdulilah proses perpanjangan SIM jadi mudah dengan aplikasi ini
dian sosilawati,5,2026-04-27 10:45:00,mudah dan cepat
Hadi Yantoro,5,2026-04-27 09:48:41,lancar dan tidak kena calo. satpas kab Bekasi dan kota Bekasi belum ada.
Fatmawati Inneke,5,2026-04-27 09:40:32,sangat membantu memperpanjang sim.online
Purnawan Prasetiyoko,5,2026-04-27 09:34:52,luar biasa. sim a dan c s
Eko Prasetyo,5,2026-04-27 09:15:17,Ditunggu untuk update untuk pembuatan sim baru
Jajang nurjaman Mustofa,5,2026-04-27 09:14:37,proses nya sangat efektif dan efisien
Muh Awaluddin,4,2026-04-27 09:01:08,"tadi saya baru terima sim, prosesnya cuma butuh 4 hari kerja, bagus cepat dan mudah. untuk saran, sediakan timer untuk tiap tahap statusnya bila tidak diproses petugas dlm waktu tertentu bisa dibatalkan otomatis biar pengguna tidak was was status stuck, tombol pembatalan sendiri juga seharunya ada. untuk chat CSnya mohon pekerjakan petugas jangan pake chatbot yang tidak membantu. error aplikasi juga diharapkan tidak terjadi lagi."
M. DURORRUDIN,5,2026-04-27 08:02:51,sudah bagus. namun Masih perlu peningkatan kapasitas. aplikasi
bapak aris,5,2026-04-27 07:50:53,mantap
Siti Maayatun,2,2026-04-27 07:31:47,nama sesuai KTP tdk diterima karena ad tanda (') mau di ganti tdk bisa alangkah baiknnya jika diperbaiki form nya
Anggi Pratiwi,3,2026-04-27 07:24:36,22 hr sim baru diterima. lamaaaaaa
Syafrizal Rizal,5,2026-04-27 07:23:44,keren semoga makin sukses
Doble D,5,2026-04-27 07:16:00,memuaskan
Andry Gandrexx,5,2026-04-27 07:03:40,membantu sekali di kondisi saat tidak bisa perpanjang an sim secara offline
Hakim Rian,1,2026-04-27 07:03:33,gak jelas verifikasi doang bayar pke pulsa
Heni Widiyanto,5,2026-04-27 07:03:19,Sangat bermanfaat
Supri Nashwa,1,2026-04-27 07:00:51,SDH pada Taham pengiriman tp kok beda alamat bagaimana ini
Mas Nur,1,2026-04-27 06:56:50,"aplikasi bertele-tele ga ringkes tahapan banyak banget, kaya buka 3 aplikasi. niat mempermudah/mempersulit. gajelas.. proses selesaiin sampe siap kirim SIM nya baru TF."
tuan kepo,5,2026-04-27 06:53:49,"Sangat membantu, hanya saja untuk pengiriman tidak semua kantor pos bisa ngnater"
Karsin Fauzi,2,2026-04-27 06:52:10,sy hari kamis tgl 23 april 2026 mengajukan permohonan perpanjangan sim C & sim A semua lancar sampai pembayaran 3 x besok pagi nya aplikasi eror g bs di buka sampai 1 hari br bs di acses masuk tp harus daftar lg verifikasi lg data pun ilang jutru ada data penolakan tp tgl 2 januari 2026 itupun bukan atas nama sy sendiri tp atas nama orang lain akhirnya waktu udah mepet jd hari ini tgl 27 april 2026 langsung perpanjangan sim di gerai koja trade mall sampai sekarang pun tidak pengembalian dana
ayu fitriyanti,5,2026-04-27 06:51:49,mantap
Sultan amilza ramzy,1,2026-04-27 06:50:56,produk bosokkk
wah yono,5,2026-04-27 06:37:21,semakin mudah mengakses dan perpanjangan SIM
ahya kusara,5,2026-04-27 06:32:20,"mantap, berguna sekali jadi efisien waktu dan tenaga"
Muh sabil,1,2026-04-27 06:31:38,Tes kesehatan tidak online.. buat apa urus perpanjangan onlie kalau tes kesehatan harus datang ke faskes
Frans Sitorus,5,2026-04-27 05:56:28,perpanjagan sim jadi jauh lebih mudah dan santai cocok untuk orang yang sibuk bekerja karna bisa di lakukan di rumah sepulang kerja tanpa ada batasan jam. sangat rekomendasi.
Muhammad Arya,2,2026-04-27 05:50:03,banyak salahnya wkwk padahal udah bener wkwk
endarto end,1,2026-04-27 05:05:55,wah hp lama gak bisa instal
Bunda QiaQinaQen,3,2026-04-27 04:55:24,kenapa ya tidak bs verifikasi NIK..??? pdhl 5th yg lalu udah berhasil
Saryanto Ago,1,2026-04-27 04:50:00,"saya perpanjang sim A,udh test psikolok dan kesehatan udh selesai,tapi aplikasi eror waktu itu 3 hari kemudian baru normal aplikasi nya,tapi sim lewat 1 hari langsung ditolok,uang udh bayar semua tapi proses ditolok"
hendro pranoto,3,2026-04-27 04:47:16,ini sama bank syariah Indonesia kok g konek ya ndan? apa gak update?
Nawir Abror,1,2026-04-27 04:41:07,"udah pernah daftar dan isi data lengkap ketika aplikasi sedang bermasalah login ulang semua data hilang, mohon bantuannya"
jaka maulana,5,2026-04-27 04:40:44,sangat membantu perpanjang sim A
Martin Juanda,5,2026-04-27 04:13:09,mantap
Indah Julia,1,2026-04-27 04:05:28,aplikasi tdk jelas.
Miftahul Janah,1,2026-04-27 03:31:43,"plis lah min bikin apk bukannya mempermudah malah bikin stress, suruh ngetik pin udah diketik bener pinnya tapi tulisan gagal terus. terus maunye pin apa yang dimasukkan dari awal udan bener pinnya kenapa malah gagal terus. udah bayar 89.500 terus ini nanti nasibnya gimana, gila 👎👎"
Toko Meilda,1,2026-04-27 03:17:35,jelek bgt selalu gangguan eror bikin bingung pengguna
Oja Atjeh,1,2026-04-27 03:15:16,Aichhh Mak Jang... susah bener verivikasi nya
ERSU222 ALVES,1,2026-04-27 02:39:22,katanya bisa buat SIM baru lewat ini pas di buka mlh menu pembuatan SIM kaga bisa kocak
Dikie Kusnadi,1,2026-04-27 02:13:25,"sudah daftar yg di aplikasi presisi polri, status sudah diterima, pengambilan di satpas, tp saat di satpas malah tidak bisa cetak, dan di arahkan untuk daftar ulang offline, mau upload 2 juga, keterangan nya masih tahap pengembangan, aplikasi belum siap"
joko supriyanto,5,2026-04-27 02:05:59,aplikasi bagus..sangat membantu sekali terima kasih
Gerry Minda,1,2026-04-27 01:36:08,nih ya saya liat hampir semua yang koment kasih ulasannya kurang baik.saya sendiri memang merasakannya buat daftar dan log in ajah ga bisa dengan keterangan sistem tidak bisa. tapi ya yang saya bingung koq ada beberapa yang koment aplikasi bagus berjalan baik perpanjang sim mudah dan sebagaianya... yang saya tanyakan kenapa bisa begitu ? cobalah tolong dibenahi yang punya aplikasi klo memang belum bisa.. Terima kasih.
Fezil alvan,5,2026-04-27 01:07:04,mantapp perpanjang SIM jd lebih praktis
Antok,5,2026-04-27 00:55:06,"Pengalaman perdana bikin SIM online, aplikasi sangat bermanfaan dan membantu terutama utk perantau, tingkatkan terus layananya, maju terus utk Korlantas dan Polri"
arif Mubarokd,1,2026-04-27 00:30:59,"5 tahun yg lalu saya kasih bintang 5 dengan kemudahan layanan tapi tidak dengan tahun ini, perpanjang tgl 13 akan tetapi tgl 23 baru mendapat balasan, bahwa gagal di foto. yg saya kirim foto saya dg background biru, bukan foto kambing y pak. terimakasih sudah sangat sangat melayani. mending SIM saya off"
roni mustofa,5,2026-04-27 00:11:31,jos
Syafardi Fardi,1,2026-04-26 22:14:13,"error masuk no tlpon aja gk bisa malah mesalah jaringan,di benarin lgi pak dan verifikasi aja sdh ikut arahn gambar masih aja gk bisa perbaikan lgi pak,kaya mau minjam dana aja lgi"
Raihan Askiyah,5,2026-04-26 21:59:45,bagus
Sofiatun Tasliyah,4,2026-04-26 16:20:32,"mohon perbaiki sistem, karena sistem tidak bisa deteksi alamat untuk pengantaran sim"
Jaelani,1,2026-04-26 15:47:13,aplikasi tidak jelas tidak bisa login terjadi kesalahan terus padahal sedang proses sim online dan setelah bisa login hilang semua gaada riwayat transaksi kan aneh
Khusus Email,1,2026-04-26 15:39:58,pin udah bener inget banget malahan tapi salah aneh bangett
zeggyh fikri,1,2026-04-26 15:23:55,"APLIKASI BENER BENER SAMPAHHHH, UDAH PERPANJANG ONLINE, TIBA TIBA AKUN SURUH DAFTAR LAGI, VERIFIKASI DATA LAGI, RIWAYAT PERPANJANGAN NY ILANG, APA AJA DIKORUP.... KACAU KACAUUUU"
Natasha Aulia,2,2026-04-26 15:18:02,"saya sdh melakukan proses perpanjangan dri H-30 masa berlaku sim habis, terakhir cek di aplikasi sedang di proses. lalu 2 hari kemarin apk eror dan bru bisa di hari ini tpi saat mau log in sya diminta untuk regis ulang & saya lakukan mengigat apk 2 hri kemarin eror jdi sya fikir hanya step2 seperti biasa mau login. stlh berhasil masuk sya malah diarahkan untuk verifikasi nik dll sprti awal mau mndaftr & data perpanjangan sim saya sblumnya malah hilang. tlg bgmn ini solusinya & perbaiki apk nya"
Asep Purmama,2,2026-04-26 14:25:58,kenapa saya ga bisa daftar malah ada pemberitahuan terjadi kesalahan sistem
Ayuk Sutiyem,1,2026-04-26 14:24:03,"mau login aplikasi susah sekali pasti alasannya terjadi kesalahan padahl SMS sudah, terus perpanjangnya juga udh jauh2 hari tapi prosesnya lama sekali, harusnya memudahkan tapi malah tambah ribet, kalau ga mampu pakai digital kayak gini gak usah dipaksakan"
Ary Zaurie,5,2026-04-26 14:15:50,ok
Jina Kim,3,2026-04-26 14:02:46,tulisannya terjadi kesalahan pada sistem terus. apakah mmg sedang maintanance?
Abdul Latif Nugraha,5,2026-04-26 14:02:38,trimakasih
BE YE,1,2026-04-26 13:47:55,BARU MASUKIN NOMOR HP AJA UDAH ERROR. PESAN ERROR GAK JELAS. DIULANG-ULANG TETEP GAK BISA. NGABISIN DUIT NEGARA AJA.
Ahmy Gates,1,2026-04-26 13:15:09,"khas banget aplikasi dalam negeri, error error dan error, baru tahap awal pun udah error, ga jelas"
Jordan Novey,1,2026-04-26 13:12:45,pada aplikasi ini ada ikon pembuatan SIM... saat diklik ada notif aplikasi ini belum hadir... gara gara aturan baru masa expired SIM sudah tidak sama seperti tanggal lahir... sehingga lewat 1 hari SIM sudah tidak bisa diperpanjang... dan harus buat SIM baru... sedangkan pembuatan SIM baru itu MAHAL... tidak sesuai dengan ketentuan... ada aja peserta dibuat gagal dari tes...
Siti Paryanti,2,2026-04-26 12:46:30,"aplikasi lain di hapus dan install kembali, ketika log in data-data masih ada. aplikasi ini harus diulang dari awal bahkan harus verifikasi lagi. saya mau cek SIM saya sudah dikirim atau belum jadi gak bisa."
Ade Suryana,1,2026-04-26 12:39:39,"sudah tes psikologi, kesehatan berbayar lewat aplikasi, eh aplikasi gk bisa dibuka stuck di verifikasi wajah, padahal foto sudah jelas dan terang"
ANTON WIBISONO,5,2026-04-26 12:30:16,sangat membantu dan mohon tingkatkan terus pelayanan yang baik dan benar agar masyarakat merasakan kemudahan2 dan dapat manfaatnya.terus semangat polantas indonesia
Tony 123,1,2026-04-26 12:12:51,APLIKASI SAMPAH BALES OK JIKA SETUJU. UDAH BOLAK BALIK JAWAB OKE MASIH AJA NO RESPON PULSA ADA. APLIKASI SAMA ORANGNYA SAMA AJA LEMOT HARUS BAYAR DULU KAH? ATAU VIRAL DULU?
Ridona 7,1,2026-04-26 12:05:22,"Saya sudah mengikuti tes kesehatan di erikkes, telah mengikuti tes psikologi dan semuanya sudah lulus. Dan sudah ada pemberitahuan sim C saya u sudah masuk proses penerbitan dan pengemasan. Tiba-tiba aplikasi tidak bisa dibuka karena sistek perbaikan di aplikasinya. Saya tetap coba login terus, setelah 4 hari saya akhirnya bisa login. Setelah bisa login status sim C saya hilang. Jadi saya harus mengikuti dq ari proses awal lagi. Aplikasinya sangat buruk, sudah banyak watku saya habis"
Hijriyah Putri,1,2026-04-26 11:56:08,"aplikaai jelek sekali, saya coba log in ulang dengan nomor yang sama tapi akun saya yang sebelumnya sudah saya buat malah hilang jadi saya tidak bisa melihat progres perpanjang sim saya"
Hijaz Akmal Faeza,5,2026-04-26 11:56:02,"sedang dalam proses, tiba tiba data hilang dan gagal verifikasi ktp. kalo ada yang bisa bantu tolong kasih saran di riview atau tutorial YouTube."
Rahino Condro,1,2026-04-26 11:48:45,"Seharusnya dengan perpanjang SIM online akan lebih mudah dalam proses, kirain via hp selesai tapi ga juga, harus datang medical cek ke RS rekomendasi. Mending Offline lah, nunggu antrian pasti tapi langsung jadi drpd Online udah 15 hari ga selesai.. kawatir expired ga selesai juga..."
Wawan Ir,5,2026-04-26 11:46:29,sangat mempermudah
me i,1,2026-04-26 11:46:24,"gimana sih udah bayar,nunggu proses,tiba2 aplikasi error,masuk lagi ,kirim otp lagi,lha ngisi profil ulang tpi tidak bisa mlahan ada sim orang laen tuh kagak kenal masuk ke akun saya,gmna nih rugi nih udah tf uang"
Aqis Cell,1,2026-04-26 11:37:02,"aplikasi ga jelas,uda daftar dan uda pengurusan smpai slesai tinggal nunggu di kirim tpi mau buka aplikasi mlah pin slah pdahal pin uda bner. pas d hpus dan download lgi kok mlah akun sya hilang pdhal nomer tetep sama. asli prah sistem nya,pdhl aplikasi korlantas loh tpi kok bruk gni"
Devin Faturohman,1,2026-04-26 11:09:31,najis verif ktp gagal mulu
Arsyidan Suhaeli,1,2026-04-26 11:00:48,"Ketika perpanjang SIM, data saya ada yang tdk dapat diverifikasi dan harus dilengkapi 3x24 jam. Okey tanpa babibu saya buka aplikasinya, tau apa yang terjadi? Aplikasinya maintenance selama 3 hari. Ketika saya buka? Sudah telat, lalu telfon call center disarankan untuk ke satpas. Jadi jatohnya kalian yang maintenance tapi saya yang repot? Kocak"
